Formula,Is Metal
Cs3Nd(MoO4)3,False
Ba(PdS2)2,False
Na7Ta3Zn(SiO4)6,False
TiZnBiO5,True
Na2YNb3Si4(SO12)2,False
NbO2F,False
MgH12(BrO3)2,False
Y2MgSe4,False
DyBi2IO4,False
Cr5S8,True
Li4Co3NiO8,True
FePO4,False
Ba(AlSi)2,True
NaBi5O8,False
LuH6(ClO5)3,False
Nb2CuCS2,True
YHgB,False
Mg2CdRh,True
YZr5O11,False
Li2Ti2VO6,False
Sr(AsS2)2,False
Ce(IO3)3,False
Al5CuW2,True
MgMn6O7F5,False
KAgTeS3,False
Ti8Cu3Ni,True
Na8Ca2Sc2Si3(SO8)3,False
Mn2VO4,False
Zr4Pd2N,True
ThIn,True
NaLaH2S2O9,False
TmMn2,True
Na9Cu2O7,True
KNdTiSnO6,False
LaZnFeMoO6,False
BPb3O4F,False
TbNiBC,True
Li2FeF4,False
Ti2InNi2,True
K2CdAu,False
La2CdIr,False
Li4Cr2C4SO16,False
LiP4(Br3O)4,False
Zr3N,True
IrN,True
PrZnIn,True
Na2MgMn4O8,False
BaCu2(HgO2)2,False
LiMn2F7,False
EuMn2O5,True
Na9Mg2Ta10Si9(PO8)9,False
Te2W2SeS,True
BaNdEuSbO6,False
Mg30AlSnO32,True
NaFe(SO4)2,False
Te3(Rh2N)2,True
Tb3Ho,True
SNO4,True
RbNaMg6O7,True
LiNd(SO4)2,False
TiNiO3,False
Ca2Al4(Si2O7)3,False
BH4NF4,False
MgSi,True
La11(Ni2Ge3)2,True
FeB2C6(O3F4)2,False
Sc7NCl12,True
LiEr(PO3)4,False
CeZr3O8,False
HoFeCu,True
Nb2Zn2SiS5O24,False
HoAl3(H3C)12,False
LiVBO4,True
LiMn3(PO4)3,True
SiNi3W2,True
Nd4Sb3,True
BaMgHg2,False
Sr5As3H,False
HoBi2C,True
Rb2DyAgCl6,False
ErB4Os,True
Pu2W2C3,True
Eu2B5BrO9,False
H3ClO5,False
Li3MnAsCO7,False
Ba10Pr5Nb2(SnO10)3,True
Sr3LaTi2Mn2O12,False
CuC3N2O5,True
TlGaS2,False
Ga3Te9Pd32,False
K3TaO2F7,True
Li6MnSb3(PO4)6,False
Sn2S3,False
Sr4TiN4,False
ZrTiPd,True
K2Cu(IF)2,True
Ba5(In2Sb3)2,False
HoPH5CO7,False
AgSbS2,False
Mg14AlCu,True
La6NbGa11O28,False
Mg30NbZnO32,False
H4BrNO4,False
Zr2AlTc,True
La2InNi2,True
LiFe2(BO3)2,False
Si3Ru2,False
MgTe2Mo2W2(Se2S)2,True
ZnNi3C,True
Rb3Al,True
Li5BiO5,False
Sr(C4N3)2,False
Ce4SiI5,True
Hg2CN3Cl5,True
CsHSO4,False
Co3P4PbO14,False
Pr3S3N,False
CeAl2Ag3,True
TbBr3,False
ZrAlCu,True
SrLa2(CoO3)3,True
Pr3SiAgSe7,False
Sb4O5F2,False
MgVCrP2(O4F)2,False
Nd4Ga17Ni2,True
Sm5AgS8,False
CeFeB4,True
SrFe12O19,False
Rb11Al14Si10(AgO16)3,False
CeSi4Ni9,True
U,True
Sr7RhN6,True
Cu4Sn15S32,True
Al(HO)3,False
ZrMo3,True
B3C10N3,False
Na2B3HO6,False
Te4W3Se2,False
SrCr2O4,True
Mg3Si4,True
Ba5(GaS4)2,False
TiBi(PO4)3,False
Lu2Te3,False
LiLaO2,False
YMg14MnO16,True
Ca5Ni17Ge8,True
Li3CrSiBO7,False
BaEuNbSbO6,False
BaNdCo2O5,True
H8Se(NO2)2,False
Li3Tm,True
Sr19Li44,False
CrBiO3,False
