formula,target
InFeAs,1
Na3Cu2SbO6,1
Li2SbPd,1
MnInAgPd,1
Cs3Ho7Se12,0
Cs3NpH8O9,0
P2W9O31,1
BaLa2FeS5,1
YCl3,0
SrPrDyFeO6,1
Mg2Tl2(MoO4)3,0
Zn(CO3)2,1
Zn4SnN4,0
Cs2InBiCl6,0
SrCaZrNbO6,1
Al(Bi3O5)4,1
TmNbRu2,1
Eu(InS2)2,1
GaBH6,0
CaFe4(CuO4)3,1
Y2CuAu,1
V13O16,1
Zn2InCuSe4,0
Cs2KTbCl6,0
LaCN2Cl,0
Cs2Na2B10O17,0
Na2C,1
Rb8Zr(MoO4)6,0
Na4S2O5,0
Na6HfHS5O21,0
Mn2Co3(PO5)4,0
Ca2Ge7O16,0
LiFePHO5,0
RbBe2F5,0
NaSiBO4,0
Ti(NbNi4)3,1
Eu2GeO5,1
NbCrW,1
Cu11S16,1
Mg3Si(O2F)2,0
ScCd3,1
Ba2CaSi4(BO7)2,0
CdNi(PO3)4,0
KEu(GeO3)2,1
Sr2CaSbO6,1
KCa(PO3)3,0
Li2FeTeO6,1
Tb3(GaNi3)2,1
Ga(PbN)3,0
Ba2V3BiO11,0
K2NaNb(OF2)2,0
Cs4Pr6C2I13,1
MgCr2O6,0
HoP5,0
Pb7(BrF6)2,0
Cs2HfO3,0
ZnC2S2(OF)6,0
MgH12S2O9,0
Na4Mg(GeSe3)2,0
BaH2(SO4)2,0
CsLuP2O7,0
Mg2ZnPd,1
Y3HoFe4(Ge2O7)4,0
ZnMo2O7,0
Cs2BeCl4,0
NdMn12,1
Rb2Li5(BO2)7,0
Sr2ZnAs2,1
Cs2B2S3O13,0
Pr4Si2Se3O7,0
AuC4(N2O)2,0
Y2PdPb,0
Na3Y2Al2P3(SO8)3,0
DyCu5Sn,1
ThMn(N3O13)2,0
Mg10Ge3(H2O9)2,0
HRuRh(CO)6,0
W3C,1
Ba6Sn6Se13,0
Rb2CrH2Cl5O,0
Na2(NbSe2)3,1
NdCu9Sn4,1
Li14Ce5Si11N19O7F2,1
BeH8(NO5)2,0
Ca3(Fe3O5)5,1
Ni5SbH17C15NO9,0
Ba2Y2CuPtO8,0
PrNbO3,1
Sr3La7Ti2Mn8O30,1
NaCu4(AsO4)3,1
Li5Cr3(PO4)4,0
Sr2Fe3Sb(PO4)6,0
Cs4Sr(SnSe3)3,0
InS2,1
Mg14NbBiO16,1
HoGa4Ni,1
Cu2PHO5,1
OsPt3,1
Rb2MgTi2Zn2(OF5)2,1
Cu3Mo2(HO5)2,0
BiSb3(PO4)6,0
Rb6U5V2O23,0
C13Cl3,0
K2ErAuCl6,0
Ba4Cu3Ge20,1
K3Sc(PO4)2,0
PH5N2O3,0
Ti4O3,1
ThBi3,1
Na4MgTi2(SiO5)2,1
MgCd2Te2(MoO6)2,0
K3NO4,0
Ti2CS,1
Na2Bi5AuO11,0
La9Ga5Se21,0
Nd(GaCu)2,1
Er6FeSb2,1
CuH10SO9,1
Na2WO12,1
Ba(GaH)2,1
MgZrAg2,1
Rb2TlMoF6,0
Li6MnNiP2(CO7)2,0
LiTaBe,1
YGeIr,1
Li4Fe3Ni3(SbO8)2,1
V3Zn2O8,0
PtPbF6,0
MnAsH2O5,0
Ho2CuRu,1
CaPrRh2,1
Al37(Fe6Cu)2,1
Li2CrH8Cl5O4,0
Co5RuO8,1
TiF6,0
Ba6Na2Si4O15,0
ScGa,1
Ir2(Se3Cl2)3,0
NaCO3,1
Cu3BO5,1
Sb5S3O5,1
K2CuMoBr6,0
Ti5ZnO7,1
Bi2P3(PbO4)3,1
LuMgAg2,1
HfI4,0
Sr2YAlNi2O7,0
NiPH15O11,0
K2SbAu,0
Y2U3S5O3,1
RbMg,1
Li2CdSn,1
Er2TlHg,1
Na3ErV2O8,0
YMg14AlO16,1
Ge13Sb13Te32,1
CsBS3O11,0
Sr5Cr3O12F,0
Ho2CoRu,1
Ba(SbO2)4,1
HoMgZn2,1
MnTeMoO6,0
DyYMg2,1
GdMgPt,1
Ti4(Fe2O5)3,0
Na26Cd141,1
TaIn3Se4,0
PdPb2F6,0
CsSr2MgNb3O10,1
Ni(SN)4,0
P3W2O13,0
BaV(AsO4)2,0
Mg2Fe2O5,0
CaSmV4O12,1
Na4Br(ClO4)3,0
Mg30ZnSiO32,0
RbGa2Au3,1
Cu9Sb(AsS6)2,1
Ce2Mn3Si4Pd,1
Y11Ge10,1
Sr2La2Mg(RuO4)3,1
Na4Al3FeO8,0
Pr(PRu)2,1
DyTmAg2,1
Li2Mn2P3(HO4)3,0
Mg6SnC,1
YMgPd,1
ScPS4,0
Li2TlZn,0
LuSnPt,1
Er2Mo4O15,0
Rb2Ca2(SO4)3,0
Sm9Ga5S21,0
BeH,1
